Target,Model,ROC-AUC mean,ROC-AUC std,PR-AUC mean,PR-AUC std,Accuracy mean,Confusion Matrix
NR-AR,Random Forest,0.786,0.028,0.524,0.072,0.969,"[[6898   58]
 [ 168  141]]"
NR-AR,XGBoost,0.765,0.03,0.51,0.071,0.963,"[[6849  107]
 [ 160  149]]"
NR-AR,Logistic Reg,0.771,0.029,0.495,0.072,0.941,"[[6681  275]
 [ 156  153]]"
NR-AR-LBD,Random Forest,0.849,0.01,0.637,0.038,0.98,"[[6501   20]
 [ 116  121]]"
NR-AR-LBD,XGBoost,0.849,0.023,0.608,0.025,0.975,"[[6450   71]
 [ 100  137]]"
NR-AR-LBD,Logistic Reg,0.856,0.014,0.593,0.061,0.967,"[[6386  135]
 [  88  149]]"
NR-AhR,Random Forest,0.89,0.014,0.608,0.023,0.911,"[[5696   85]
 [ 495  273]]"
NR-AhR,XGBoost,0.872,0.014,0.6,0.012,0.894,"[[5392  389]
 [ 305  463]]"
NR-AhR,Logistic Reg,0.859,0.012,0.549,0.026,0.872,"[[5211  570]
 [ 271  497]]"
NR-Aromatase,Random Forest,0.821,0.03,0.409,0.055,0.956,"[[5494   27]
 [ 230   70]]"
NR-Aromatase,XGBoost,0.778,0.045,0.393,0.053,0.943,"[[5377  144]
 [ 185  115]]"
NR-Aromatase,Logistic Reg,0.778,0.041,0.336,0.034,0.92,"[[5227  294]
 [ 170  130]]"
NR-ER,Random Forest,0.717,0.017,0.404,0.036,0.88,"[[5265  135]
 [ 610  183]]"
NR-ER,XGBoost,0.685,0.039,0.403,0.048,0.833,"[[4845  555]
 [ 478  315]]"
NR-ER,Logistic Reg,0.68,0.031,0.363,0.034,0.781,"[[4480  920]
 [ 434  359]]"
NR-ER-LBD,Random Forest,0.807,0.025,0.45,0.024,0.957,"[[6544   61]
 [ 236  114]]"
NR-ER-LBD,XGBoost,0.777,0.028,0.461,0.025,0.946,"[[6425  180]
 [ 194  156]]"
NR-ER-LBD,Logistic Reg,0.776,0.031,0.408,0.039,0.922,"[[6247  358]
 [ 186  164]]"
NR-PPAR-gamma,Random Forest,0.834,0.016,0.319,0.064,0.97,"[[6249   15]
 [ 177    9]]"
NR-PPAR-gamma,XGBoost,0.764,0.037,0.262,0.05,0.966,"[[6184   80]
 [ 138   48]]"
NR-PPAR-gamma,Logistic Reg,0.784,0.05,0.248,0.048,0.951,"[[6063  201]
 [ 116   70]]"
SR-ARE,Random Forest,0.806,0.016,0.523,0.019,0.861,"[[4802   88]
 [ 725  217]]"
SR-ARE,XGBoost,0.771,0.007,0.493,0.011,0.838,"[[4417  473]
 [ 472  470]]"
SR-ARE,Logistic Reg,0.762,0.01,0.449,0.023,0.802,"[[4147  743]
 [ 412  530]]"
SR-ATAD5,Random Forest,0.854,0.008,0.319,0.042,0.964,"[[6786   22]
 [ 234   30]]"
SR-ATAD5,XGBoost,0.815,0.03,0.316,0.054,0.957,"[[6672  136]
 [ 171   93]]"
SR-ATAD5,Logistic Reg,0.811,0.017,0.308,0.05,0.936,"[[6493  315]
 [ 135  129]]"
SR-HSE,Random Forest,0.777,0.049,0.296,0.025,0.942,"[[6059   36]
 [ 336   36]]"
SR-HSE,XGBoost,0.736,0.037,0.276,0.015,0.927,"[[5889  206]
 [ 269  103]]"
SR-HSE,Logistic Reg,0.716,0.026,0.232,0.018,0.892,"[[5625  470]
 [ 228  144]]"
SR-MMP,Random Forest,0.876,0.009,0.656,0.019,0.883,"[[4784  108]
 [ 569  349]]"
SR-MMP,XGBoost,0.862,0.017,0.642,0.028,0.871,"[[4501  391]
 [ 357  561]]"
SR-MMP,Logistic Reg,0.852,0.018,0.594,0.039,0.85,"[[4330  562]
 [ 307  611]]"
SR-p53,Random Forest,0.855,0.019,0.408,0.035,0.943,"[[6331   20]
 [ 367   56]]"
SR-p53,XGBoost,0.808,0.032,0.367,0.042,0.927,"[[6138  213]
 [ 280  143]]"
SR-p53,Logistic Reg,0.782,0.029,0.323,0.044,0.898,"[[5899  452]
 [ 237  186]]"
